event_id,time_ms,tick,note,note_name,velocity_on,time_off_ms,tick_off,velocity_off,duration_ms
356,69772,15671,74,D5,59,70049,15733,11,277
357,69920,15704,60,C4,64,70031,15729,59,112
358,70388,15809,54,F#3,60,72062,16184,21,1674
359,70830,15908,76,E5,62,71009,15948,35,179
360,70830,15908,81,A5,56,71040,15955,33,210
361,70839,15910,72,C5,53,71009,15948,35,170
362,71281,16009,76,E5,59,71469,16051,36,187
363,71281,16009,81,A5,57,71509,16060,33,228
364,71290,16011,72,C5,59,71638,16089,5,348
365,71580,16076,79,G5,59,71928,16154,28,348
366,71719,16107,66,F#4,56,71991,16168,48,272
367,72000,16170,78,F#5,46,72469,16275,44,469
368,72009,16172,75,D#5,53,72469,16275,44,460
369,72031,16177,59,B3,53,72290,16235,36,259
370,72040,16179,69,A4,50,72451,16271,33,411
371,72442,16269,59,B3,60,73652,16540,44,1210
372,72620,16309,69,A4,57,72790,16347,36,170
373,73049,16405,69,A4,60,73437,16492,15,388
374,73049,16405,75,D#5,68,73348,16472,28,299
375,73049,16405,78,F#5,74,73339,16470,37,290
376,73370,16477,79,G5,57,73518,16510,39,147
377,73607,16530,78,F#5,44,73790,16571,56,183
378,73620,16533,69,A4,44,73879,16591,21,259
379,73629,16535,75,D#5,47,73781,16569,42,152
380,73960,16609,52,E3,47,76928,17274,23,2969
381,73978,16613,76,E5,44,74241,16672,44,263
382,74268,16678,64,E4,48,74888,16817,29,621
383,74411,16710,67,G4,53,74549,16741,46,138
384,74728,16781,71,B4,63,75098,16864,37,371
385,75170,16880,74,D5,57,75442,16941,36,272
386,75330,16916,64,E4,53,75830,17028,33,500
387,75638,16985,69,A4,49,75723,17004,41,85
388,75808,17023,74,D5,63,76022,17071,31,214
389,75812,17024,76,E5,59,76170,17104,9,357
390,75812,17024,71,B4,63,75960,17057,36,147
391,75821,17026,69,A4,60,76040,17075,28,219
392,76549,17189,76,E5,68,76790,17243,36,241
393,76571,17194,64,E4,57,77022,17295,13,451
394,76710,17225,78,F#5,57,77022,17295,36,312
395,76982,17286,79,G5,59,77210,17337,23,228
396,77509,17404,57,A3,46,77652,17436,47,143
397,77540,17411,72,C5,52,78232,17566,5,692
398,77580,17420,76,E5,41,78299,17581,5,719
399,77589,17422,79,G5,41,79049,17749,5,1460
400,77629,17431,84,C6,42,78969,17731,5,1339
401,78219,17563,57,A3,64,78638,17657,39,420
402,79080,17756,60,C4,53,79201,17783,46,121
403,79152,17772,61,C#4,53,79348,17816,57,196
404,79290,17803,62,D4,49,81009,18188,39,1719
405,79647,17883,78,F#5,64,79781,17913,60,134
406,79661,17886,72,C5,56,79790,17915,50,129
407,80009,17964,78,F#5,88,80089,17982,61,80
408,80022,17967,72,C5,65,80112,17987,47,89
409,80272,18023,50,D3,59,80982,18182,36,710
410,80290,18027,72,C5,59,80531,18081,24,241
411,80290,18027,78,F#5,79,80509,18076,36,219
412,80629,18103,83,B5,65,80821,18146,39,192
413,80652,18108,72,C5,55,80839,18150,31,187
414,80661,18110,78,F#5,36,80790,18139,3,129
415,80969,18179,72,C5,57,81147,18219,7,179
416,80969,18179,81,A5,59,81138,18217,36,170
417,81281,18249,55,G3,58,82991,18632,9,1710
418,81312,18256,83,B5,63,81848,18376,5,536
419,81652,18332,67,G4,44,82540,18531,37,888
420,82009,18412,71,B4,57,82152,18444,36,143
421,82241,18464,71,B4,60,82661,18558,33,420
422,82241,18464,78,F#5,61,82620,18549,36,379
423,82250,18466,74,D5,70,82500,18522,26,250
424,82580,18540,83,B5,63,82768,18582,36,187
425,82732,18574,67,G4,56,82920,18616,44,187
426,83040,18643,60,C4,46,83228,18685,37,187
427,83049,18645,74,D5,59,83491,18744,35,442
428,83049,18645,72,C5,59,83460,18737,39,411
429,83049,18645,76,E5,63,83638,18777,3,589
430,83442,18733,60,C4,58,84022,18863,48,580
431,83629,18775,72,C5,63,83839,18822,36,210
432,84049,18869,72,C5,61,84348,18936,33,299
433,84049,18869,74,D5,64,84299,18925,29,250
434,84058,18871,76,E5,60,84295,18924,31,237
435,84370,18941,60,C4,60,84911,19062,36,540
436,84379,18943,76,E5,57,84549,18981,36,170
437,84388,18945,78,F#5,66,84701,19015,36,312
438,85049,19093,57,A3,64,85250,19138,28,201
439,85058,19095,76,E5,58,85299,19149,53,241
440,85062,19096,81,A5,53,85312,19152,44,250
441,85071,19098,72,C5,53,85312,19152,39,241
442,85509,19196,76,E5,66,86000,19306,35,491
443,85509,19196,72,C5,57,86009,19308,33,500
444,85509,19196,81,A5,58,86000,19306,36,491
445,85522,19199,57,A3,41,85620,19221,35,98
446,85969,19299,57,A3,53,86902,19508,44,933
447,86250,19362,72,C5,58,86509,19420,42,259
448,86250,19362,79,G5,63,86491,19416,39,241
449,86870,19501,59,B3,57,87241,19584,44,371
450,86879,19503,78,F#5,57,87379,19615,52,500
451,86879,19503,75,D#5,55,87379,19615,52,500
452,86888,19505,69,A4,44,87402,19620,37,513
453,87348,19608,59,B3,63,88009,19756,36,661
454,87607,19666,69,A4,56,87888,19729,36,281
455,87612,19667,78,F#5,60,87759,19700,41,147
456,87612,19667,75,D#5,60,87750,19698,48,138
457,87750,19698,79,G5,58,87920,19736,53,170
458,88049,19765,78,F#5,72,88219,19803,56,170
459,88049,19765,75,D#5,64,88210,19801,41,161
460,88071,19770,69,A4,58,88281,19817,29,210
461,88219,19803,59,B3,65,88531,19873,53,312
462,88513,19869,76,E5,50,88911,19958,46,397
463,88678,19906,64,E4,60,89049,19989,36,371
464,88969,19971,52,E3,44,90750,20370,59,1781
465,89129,20007,67,G4,57,89379,20063,21,250
466,89411,20070,69,A4,60,89888,20177,36,478
467,89848,20168,71,B4,59,90080,20220,29,232
468,90000,20202,64,E4,46,90469,20307,11,469
