userID,window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
1,18,270000,56.391,38.507,197.279,587.797,16.255,43,73.855,7.221,4,4.0,0.267,3.536,161.833,3.167,2,85.0,1.0
1,19,285000,55.034,31.067,149.455,277.899,13.396,27,68.562,7.92,8,3.375,0.533,2.674,48.842,0.789,1,129.0,1.0
1,20,300000,59.188,35.038,178.633,362.638,13.237,27,68.188,8.253,5,3.2,0.333,2.712,97.455,3.091,1,71.0,1.0
1,21,315000,58.366,33.304,131.559,301.714,13.531,29,70.518,8.694,14,3.143,0.933,3.045,95.7,3.933,2,136.0,2.0
1,22,330000,56.813,35.52,201.378,390.733,13.505,30,69.72,9.257,6,3.167,0.4,3.093,97.846,1.538,0,0.0,0.0
1,23,345000,56.24,37.107,197.568,602.053,9.256,34,72.16,5.635,12,4.0,0.8,3.693,160.806,4.167,0,0.0,0.0
1,24,360000,59.93,34.221,173.047,633.244,25.345,34,73.221,7.318,10,4.6,0.667,4.256,160.25,3.861,0,0.0,0.0
1,25,375000,57.439,30.667,227.815,610.424,13.791,31,70.5,7.585,4,4.0,0.267,3.258,143.333,4.0,0,0.0,0.0
1,26,390000,57.033,36.11,160.567,480.846,16.442,38,72.187,11.244,6,3.333,0.4,3.56,163.429,4.0,1,147.0,1.0
1,27,405000,57.425,33.753,205.417,367.781,10.113,27,67.589,7.667,1,3.0,0.067,2.589,96.0,1.0,2,122.5,1.0
1,28,420000,60.167,34.533,162.472,409.678,10.863,36,71.656,10.472,3,3.0,0.2,3.167,87.833,2.667,0,0.0,0.0
1,29,435000,60.907,35.427,199.568,535.92,15.428,27,70.293,8.014,8,3.5,0.533,3.173,229.2,4.6,1,71.0,1.0
1,30,450000,60.977,33.733,170.329,488.5,19.348,36,72.919,9.835,5,4.4,0.333,3.57,207.059,3.706,0,0.0,0.0
1,31,465000,58.395,32.697,197.2,491.171,16.723,33,73.987,9.493,8,3.875,0.533,3.171,164.391,3.696,0,0.0,0.0
1,32,480000,56.603,34.529,218.343,559.721,10.018,38,72.338,6.836,7,4.429,0.467,3.368,141.958,4.625,0,0.0,0.0
1,33,495000,56.429,34.545,193.908,758.338,15.32,34,72.87,7.605,12,3.583,0.8,3.701,205.968,5.387,1,112.0,2.0
1,34,510000,63.375,45.75,231.571,207.5,0.425,14,79.625,4.286,0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0
2,0,0,35.75,64.0,341.256,845.227,15.959,24,57.955,6.93,4,3.0,0.267,3.591,97.125,3.875,0,0.0,0.0
2,1,15000,37.44,64.0,290.388,844.08,9.455,25,56.8,8.367,1,3.0,0.067,3.38,267.0,2.5,0,0.0,0.0
2,2,30000,33.218,64.0,266.593,830.618,16.331,24,56.055,8.815,4,3.5,0.267,3.4,246.6,4.7,0,0.0,0.0
2,3,45000,30.889,64.0,270.83,875.796,10.847,28,58.352,10.094,0,0.0,0.0,3.574,0.0,0.0,0,0.0,0.0
2,4,60000,36.529,64.0,289.58,868.706,14.948,23,56.627,7.64,3,3.333,0.2,3.176,186.429,7.0,2,104.0,2.0
2,5,75000,36.929,64.0,257.945,936.0,22.826,24,57.946,7.945,6,3.5,0.4,3.482,87.467,6.933,0,0.0,0.0
2,6,90000,36.023,64.0,334.81,846.628,7.211,23,52.442,6.0,3,3.0,0.2,3.279,245.5,5.833,0,0.0,0.0
2,7,105000,33.186,64.0,255.155,846.508,19.494,27,57.136,8.517,3,3.333,0.2,3.424,82.286,6.286,0,0.0,0.0
2,8,120000,29.34,64.0,259.346,926.189,16.208,20,54.792,7.154,3,3.0,0.2,3.472,123.833,7.667,0,0.0,0.0
2,9,135000,33.176,64.0,901.875,761.353,17.588,20,55.118,7.875,0,0.0,0.0,2.588,0.0,0.0,0,0.0,0.0
2,10,150000,42.879,64.0,260.474,643.379,15.595,25,58.0,7.439,6,3.333,0.4,3.207,197.0,2.286,0,0.0,0.0
2,11,165000,52.05,64.0,185.304,640.788,11.911,25,58.4,7.924,7,3.429,0.467,3.875,191.118,4.882,0,0.0,0.0
2,12,180000,44.922,64.0,224.54,1043.5,17.287,24,58.453,8.73,1,3.0,0.067,4.75,41.5,7.5,0,0.0,0.0
2,13,195000,37.933,64.0,497.621,773.8,1.744,34,53.833,8.241,1,4.0,0.067,2.3,245.333,6.667,0,0.0,0.0
2,14,210000,35.903,64.0,237.934,785.484,14.273,32,62.081,8.738,3,4.0,0.2,3.339,94.111,3.333,0,0.0,0.0
2,15,225000,42.0,64.0,384.833,1504.324,37.145,41,70.432,11.722,1,3.0,0.067,3.595,62.5,4.0,0,0.0,0.0
2,16,240000,31.5,64.0,300.979,872.896,7.309,29,59.854,6.362,3,3.0,0.2,3.521,122.667,6.0,0,0.0,0.0
2,17,255000,33.333,64.0,417.75,1244.788,9.393,18,49.939,5.312,1,3.0,0.067,3.061,83.5,7.0,0,0.0,0.0
2,18,270000,59.079,64.0,197.307,572.053,6.622,25,58.684,7.52,4,3.0,0.267,3.947,209.125,2.875,0,0.0,0.0
2,19,285000,49.272,64.0,158.648,534.38,16.187,29,60.293,8.758,5,3.2,0.333,3.946,173.0,5.091,0,0.0,0.0
